Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
katoen (gestikt),siamois,Brabantse gulden,,1759-1798,"RvF, 5748-5812",
zeefdoek,linen cloth,Brabantse gulden,,1759-1799,"RvF, 5748-5813",
meubelstof,white linen cloth,Brabantse gulden,,1759-1800,"RvF, 5748-5814",
lijnwaad (bewerkt),white linen cloth,Brabantse gulden,,1759-1801,"RvF, 5748-5815",
vernis,worked linen cloth,Brabantse gulden,,1759-1802,"RvF, 5748-5816",
vensterglas (in vierkanten gesneden),canvas (sail cloth),Brabantse gulden,,1759-1803,"RvF, 5748-5817",
glazen dessertstukken,cloth for sifting,Brabantse gulden,,1759-1804,"RvF, 5748-5818",
bloemen (planten en bollen),cloth for furniture,Brabantse gulden,,1759-1805,"RvF, 5748-5819",
goud en zilver (piasters),queues et pennes,Brabantse gulden,,1759-1806,"RvF, 5748-5820",
zilvergeld,woolen fabrics,Brabantse gulden,,1759-1807,"RvF, 5748-5821",
zilvervijlsel,broadcloth for mittens and socks,Brabantse gulden,,1759-1808,"RvF, 5748-5822",
takkenbossen,broadcloth (residuals),Brabantse gulden,,1759-1809,"RvF, 5748-5823",
trommels,baize,Brabantse gulden,,1759-1810,"RvF, 5748-5824",
oude zeilen van molens e.a.,frisade,Brabantse gulden,,1759-1811,"RvF, 5748-5825",
vuurwerk,camelot,Brabantse gulden,,1759-1812,"RvF, 5748-5826",
houtafval,baracan,Brabantse gulden,,1759-1813,"RvF, 5748-5827",
hout voor zegels,serge,Brabantse gulden,,1759-1814,"RvF, 5748-5828",
hout voor latten,flannel,Brabantse gulden,,1759-1815,"RvF, 5748-5829",
bezems (kleine),muslin,Brabantse gulden,,1759-1816,"RvF, 5748-5830",
vork- en bezemstelen,muslin,Brabantse gulden,,1759-1817,"RvF, 5748-5831",
roeiriemen,taffeta (washed),Brabantse gulden,,1759-1818,"RvF, 5748-5832",
houten molens,lace (silk),Brabantse gulden,,1759-1819,"RvF, 5748-5833",
without voor klompen,lace (linen),Brabantse gulden,,1759-1820,"RvF, 5748-5834",
houten hielen,lace (fake gold and silver),Brabantse gulden,,1759-1821,"RvF, 5748-5835",
ladders,mixed trimmings,Brabantse gulden,,1759-1822,"RvF, 5748-5836",
hout voor muziekinstrumenten,woolen blankets,Brabantse gulden,,1759-1823,"RvF, 5748-5837",
hout (oud),horse blankets,Brabantse gulden,,1759-1824,"RvF, 5748-5838",
lederen wanten,old sails,Brabantse gulden,,1759-1825,"RvF, 5748-5839",
as (gemengd),inner liners for hats and wigs,Brabantse gulden,,1759-1826,"RvF, 5748-5840",
hoeden (nieuwe),tapistry,Brabantse gulden,,1759-1827,"RvF, 5748-5841",
hoeden (oude),mats (for packing),Brabantse gulden,,1759-1828,"RvF, 5748-5842",
