1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
juifs,juifs pou droit corporel à la sortie,aantal,"0,00","0,00",,"402,00","402,00",,"0,00","0,00",,"402,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,,,35,,,12,,,,
boter,beurre de pays,pond,"53238,00","53238,00",,"272421,00","272421,00",,"55315,50","55315,50",,"219183,00",,100,151,2650,579,,,6050,2660,,50,,,,,,40,294,,48,,,21280,,,,12970,,50,,,,7448,1256,95,7592,,,,,45,2159,2702,"918,5",,1451,"889,5",860,1228,,228309,960,5285,,"7032,5",5792,,31878,10097,2,4512,1919,9976,1646
boter (niet eetbare ierse),beurre non comestible,pond,"1658,00","1658,00",,"0,00","0,00",,"200,00","200,00",,"-1658,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618,,200,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
"bier (engels, luiks...)",bierre d'angleterre,aam,"1859,33","1859,34",,"2,75","2,75",,"116,88","116,78",,"-1856,58",,"0,25","0,5","9,275",80,"1,25",2,33,,,,,,"3,5",,,,,,"21,5",,,35,1,,"3,1",,,,,,"108,625",,13,"193,417",,,1,,,,,,5,,,"25,5",,12,"78,25",,,644,,6,287,,"11,5","296,5",,"59,5","43,7",,"3,5"
bier (hoegaards),bierre d'hougarde,aam,"25017,63","25017,63",,"2421,00","2421,00",,"0,00","0,00",,"-22596,63",,,,,"25016,875",2396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,75",20,,,5,,,,,,,,,,,,,,,,
bier (gewoon),bierre commune,aam,"0,00","0,00",,"7945,69","7945,69",,"0,00","0,00",,"7945,69",,,"273,5",,,"5890,5",,,"95,6875",,,"408,25",,,,,,"147,5",,,"41,25",,,,,,,,,"326,25",,,"136,25",,,"146,5",,,"99,5",,,5,,,"129,75",,,187,,,4,,,"1,25",,,,,,3,,,"50,5",
hout voor fijne bewerking en decoratie,bois de maquetterie à tourner,pond,"84396,00","84396,00",,"10217,00","10217,00",,"32,00","32,00",,"-74179,00",,45,645,,,,,,,,,250,,33644,,,2200,8988,,29358,,,4059,,,14240,,,,300,,,,,,,,,,,,,20,600,,,,34,12,250,,,,,,,,,,,,,,
schoorbalken in den,sommiers ou corps d'arbre de sapin,aantal,"27674,00","27674,00",,"96,00","96,00",,"51,00","51,00",,"-27578,00",,,,,,,,,,,28,,,7551,,,3,17,,,,,20080,,,4,,,2,27,,,7,,,7,,,,,,,,,1,,,3,,,10,,5,,,,24,,1,,51,,,
"schoorbalken in eik, versierd",sommiers de chene faconnés,voetribbe,"800,00","800,00",,"4380,00","4380,00",,"0,00","0,00",,"3580,00",,,,,,,,,,,,,,,,,,1025,,,250,,,,,,,,,,,,,,,1505,,,,,,,,650,,,150,,,,1600,,,,,,,,,,,,,
wagenschot (lange eiken planken),wageschot,aantal,"344,00","344,00",,"39,00","39,00",,"5,00","5,00",,"-305,00",,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,22,,1,,,,11,5,,,
pijphout,pyphout,aantal,"0,00","0,00",,"51,00","51,00",,"1,00","1,00",,"51,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,4,,,4,1,,,
klaphout (kleine eiken planken),claphout,aantal,"2029,00","2029,00",,"122,00","122,00",,"5,00","5,00",,"-1907,00",,,,,,,,,,,,,,,,,,,,1035,,,554,,,,,,,,,,,,75,,,,,,,,,200,,,,,,,,,,110,,,12,5,,,,165,,
duigen voor vaten,clappes ou douves à barils,aantal,"189790,00","189090,00",,"85510,00","85510,00",,"87997,00","87997,00",,"-104280,00",,600,,,400,3500,,,,,,,,,,,,,,,,,23486,50,,12000,,,,2000,,1850,620,,,,,100,250,,15619,11100,1100,114520,350,8200,16350,15182,77000,1349,,722,26,18833,575,400,750,400,2390,32875,,,,
duigen voor vaten,clappes ou douves à barils,last,"0,00","0,00",,"0,00","0,00",,"344,50","344,50",,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"344,5",,,,,,,,,,,,,,,,,,,,,
"masten (den, 12 tot 14 palmen en meer)",mast de 12 à 14 paumes,aantal,"3,00","3,00",,"10,00","10,00",,"0,00","0,00",,"7,00",,,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"masten (den, 8 tot 12 palmen)",mast de 8 à12 paumes,aantal,"11,00","11,00",,"8,00","8,00",,"0,00","0,00",,"-3,00",,,,,,,,,8,,,,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"masten (den, 4 tot 8 palmen)",mast de 4 à 8 paumes,aantal,"398,00","398,00",,"1,00","1,00",,"0,00","0,00",,"-397,00",,,,,,,,,,,2,,,,,,,,,21,,,365,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staken (groot) ('juffers'),perches grandes jffers,aantal,"3392,00","3392,00",,"0,00","0,00",,"0,00","0,00",,"-3392,00",,,,,,,,,,,,,,453,,,,,,,,,2866,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staken (middelmaat) ('capravens'),perches moiennes capravens,aantal,"26468,00","26468,00",,"717,00","717,00",,"0,00","0,00",,"-25751,00",,,,,,,,323,,,97,,,281,,,,,,1721,,,23583,717,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staken (gewone en kleine in den),perches communes ou petites de sapin,aantal,"27964,00","27964,00",,"68472,00","68472,00",,"32330,00","32330,00",,"40508,00",,,,,980,1267,,4,184,,110,14,,1463,,,40,,,154,,,1040,,,1009,213,,57,,,,150,,500,19605,,13509,35726,,407,,,1262,60,,879,10295,32270,2800,,,50,100,20,,,,,218,,3700,640,40
boomstammen (onbewerkt),corps d'arbres bruts,aantal,"54,00","54,00",,"18,00","18,00",,"6,00","6,00",,"-36,00",,,,,,,,,,,,,,41,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,,14,,,2,,,,,,,,,,
boomstammen (onbewerkt),corps d'arbres bruts,voetribbe,"82420,00","82420,00",,"44042,00","44042,00",,"2000,00","2000,00",,"-38378,00",,,27950,,200,150,,1750,139,,,,,4163,,,50,530,,,1500,,,,,,576,,,,,,,,,600,,,,,2943,100,2000,67423,1600,,5891,3112,,,7785,,,,,,,,,,,,,
boomstammen (30 tot 40 voet en meer),corps d'arbres bruts de 30 à 40 pds et endessus,aantal,"1,00","1,00",,"81,00","81,00",,"507,00","507,00",,"80,00",,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,21,507,,,,,,,,,
boomstammen (20 tot 30 voet),,aantal,"180,00","180,00",,"291,00","291,00",,"72,00","72,00",,"111,00",,,12,,34,72,,,1,,,,,,,,,,,,,,,,,,,,61,12,,,,,1,18,,17,5,,,,,,,,41,100,24,,2,,5,46,41,9,5,4,3,14,,9,4,3
boomstammen (kleiner dan 20 voet),,aantal,"93,00","93,00",,"1196,00","1196,00",,"98,00","98,00",,"1103,00",,,,,,,,,,,1,4,,,,,,,,,21,,,,,,,,,20,,,,,,,,,,,,2,,,,,,,,,2,,73,974,78,,,,19,173,20,,,
vloerribben en spanhouten van 4 vierkante duim,gites ou cotes de sommiers de 4 pouces,voetribbe,"72391,00","72391,00",,"379042,00","379042,00",,"22364,00","22364,00",,"306651,00",,,23478,,125,920,,316,,,,,,,,,,5660,,,,,,100,,,4555,,125,3739,,495,5040,,1066,18987,,440,49907,,4432,2646,11364,62875,1205,400,2267,250290,10600,,11690,,,,,,635,,,,,250,190,
planken (den van pom_ranie),,aantal,"80,00","80,00",,"0,00","0,00",,"0,00","0,00",,"-80,00",,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planken (noorse den),planches de sapin de norwegie,aantal,"18882,00","18882,00",,"27,00","27,00",,"0,00","0,00",,"-18855,00",,,,,,,,,,,,,,18882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,
planken (gewone den),planches communes de sapin,aantal,"287653,00","287653,00",,"6030,00","6030,00",,"8760,00","8760,00",,"-281623,00",,,10,,,112,,148,6,,12,,,,,,250,,,47648,,,190175,1022,,20445,,,282,20,,,630,,,266,,,,,,,,,,,,,,803,3799,,27090,165,7283,800,,1477,,,,,,
"planken (eik, drie duim en groter)",planches de chene de 3 pouces et endessus,voet,"1300,00","1300,00",,"11971,00","11971,00",,"1868,00","1868,00",,"10671,00",,,1100,,,,,,,,,,,,,,,421,,,,,,,,,980,,,,,,,,,555,,,,,,,,,,,,,,,7350,,1300,759,,,,,,806,1868,,,
"planken (eik, 2 duim)",,voet,"1378,00","1378,00",,"24872,00","24872,00",,"9918,00","9918,00",,"23494,00",,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,53,,,,,,,650,,,5985,,,,,455,,,,2135,,,4082,,,,,870,4200,180,,5820,9738,,,
"planken (eik, 1 duim of kleiner)",d'un pouce et dessous,voet,"117106,00","117106,00",,"883854,00","883854,00",,"59798,00","59798,00",,"766748,00",,,,,600,804,,580,250,,240,2891,,,,,108,71,,,,,,200,,150,400,,157,15,,173,350,,,12592,,100,12150,,,300,,34205,796,,697,159802,7650,25,7440,50,8404,56693,3000,29822,393864,29443,29055,231167,19115,12790,4069,540
planken (beukehout),,voet,"5245,00","5245,00",,"250604,50","250604,50",,"2230,00","2230,00",,"245359,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44716,,,,,,1325,,5070,3850,1880,175,"200713,5",350,,,
planken (gewone) en hout,,kar,"111,00","111,00",,"129,00","129,00",,"65,63","65,63",,"18,00",,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,111,,"65,625",,,,,,,,5,,,,,,,,,99,
latten (gezaagd),,voet,"6250,00","6250,00",,"313751,00","313751,00",,"11150,00","11150,00",,"307501,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,9355,,,,,6250,303696,11150,,,
latten voor dakbedekkers ('solderveren'),,bos,"614,00","614,00",,"45,75","45,75",,"0,00","0,00",,"-568,25",,,14,,,,,,,,,,,600,,,14,"31,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latten voor dakbedekkers (pannen),,bos,"478,00","478,00",,"1198,00","1198,00",,"2,00","2,00",,"720,00",,,,,,,,,12,,,,,,,,,,,,,,,,,,103,,2,14,,14,63,,18,233,,94,309,,,28,,132,4,,42,14,,154,408,2,,,,,10,,,,,22,,
wagenassen,,aantal,"51,00","51,00",,"1400,00","1400,00",,"2,00","2,00",,"1349,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,24,,2,,53,,,101,,,,,,,,,1229,,,17,
wielnaven,,aantal,"28,00","28,00",,"410,00","410,00",,"0,00","0,00",,"382,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,158,,,96,,12,1,,,24,,,86,,,,,,,,,45,,,,
velgen,,aantal,"1450,00","1450,00",,"33128,00","33128,00",,"87,00","87,00",,"31678,00",,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,200,1321,,400,5,37,,4421,,,392,50,,,,,,,150,26729,,,60,
spaken,,aantal,"5085,00","5085,00",,"49471,00","49471,00",,"2765,00","2765,00",,"44386,00",,,,,,,,,,,,5960,,,,,,,,,,,,,,,,,,,,,1000,,151,400,,500,,,3500,300,,400,260,50,78,27218,2715,,950,,,,,,,,300,13183,,156,200,
wielen,,paar,"20,00","20,00",,"63,00","63,00",,"4,00","4,00",,"43,00",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,1,,,,,2,34,,1,,,17,19,,,3,2
wielen,,gulden,"0,00","0,00",,"106,00","0,00",,"0,00","0,00",,"106,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
werres (klein hout ?),,aantal,"0,00","0,00",,"104,00","104,00",,"25800,00","25800,00",,"104,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,25800,,,,,,,,,,,,,,,
werres (klein hout ?),,voet,"2900,00","2900,00",,"77340,00","77340,00",,"650,00","650,00",,"74440,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,77340,650,,,
standrepen (houten ring van een zeef),,gros,"120,15","120,15",,"180,33","180,33",,"0,00","0,00",,"60,18",,,37,,,"0,25",,,,,,"140,625",,,,,,,,,"0,25",,,,,,,,,"1,25",,"30,653",,,"20,416",,,"31,5",,,,,,,,,,,,"37,583","0,958",,,,,,,,,,,,,
tonhoepels (12 tot 16 voet),,aantal,"34308,00","34308,00",,"500,00","500,00",,"0,00","0,00",,"-33808,00",,,,,,,,,,,,,,34308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,
tonhoepels (9 tot 12 voet),,aantal,"505085,00","505085,00",,"42745,00","42745,00",,"0,00","0,00",,"-462340,00",,,,,1480,31615,,,,,,,,492500,,,,,,,,,,,,,150,,,40,,,,,,,,7975,,,,,,,,,2900,4150,,,6790,,,,,,,,,,,230,,
tonhoepels (7 tot 8 voet of kleiner),,aantal,"283366,00","283366,00",,"718200,00","718200,00",,"9725,00","9725,00",,"434834,00",,,,,,,,350,,,1950,,,76000,,,300,,,2000,120,,,,,,1275,,7150,60,,12850,2300,3200,,150,,109950,154700,,23000,4500,,36300,13400,,100,10900,3400,100,518195,,12941,12200,125,,,,,400,3000,375,,
tonnen en vaten,,aantal,"4108,00","4108,00",,"1758,00","1758,00",,"53,00","53,00",,"-2350,00",,,141,,1067,560,,9,48,,12,234,,14,,,20,423,,3,,,883,,,244,14,,41,,,623,,20,451,10,,79,8,,15,4,7,82,41,6,112,8,11,303,6,,62,157,7,13,20,2,36,24,,39,60,
hout voor bogen en geweren,,aantal,"354,00","354,00",,"81950,00","81950,00",,"0,00","0,00",,"81596,00",,,,,,,,,,,,,,,,,237,,,107,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81950,,,,
hout voor stoelen,,aantal,"491,00","491,00",,"260,00","260,00",,"0,00","0,00",,"-231,00",,,,,,,,,1,,,,,,,,6,216,,,,,,,,,,,,,,15,,,184,13,,283,,,,,,,,,,30,,,,,,,,,,,,,,3,,
hout voor spaden en vlegels,,aantal,"4158,00","4158,00",,"2249,00","2249,00",,"1,00","1,00",,"-1909,00",,,680,,,,,,,,,1426,,,,,,,,,,,180,,,,,,,,,275,,,817,,,2253,143,,,,,,,,,,1,633,,,,,,,,,,,,,,
houten blaasbalgen,,dozijn,"23,00","23,00",,"0,83","0,83",,"0,08","0,08",,"-22,17",,,,,,,,,,,,"0,5",,,,,,,,"0,75",,,"9,5",,,,,,,,,"9,083",,,"0,25",,,,,,,,"0,083",,"0,167",,,,,"3,333",,,,,,,,,,,,"0,0833","0,167",
vlechtwerk in hazelaar (coudriers),,gulden,"310,00","310,00",,"86,00","86,00",,"4220,00","4220,00",,"-224,00",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,38,80,,184,,,,,,,,,68,,60,3,,,,,,,,4160,,,,,,,10,6,
houtwerk (groot),,kar,"29,13","29,13",,"378,70","378,57",,"10,00","10,00",,"349,57",,,"10,5",,,"7,75",,,"3,25",,,"208,1875",,,,,,"3,375",,,,,,,,,"0,2",,"1,25","102,45",,,"0,714",,3,"1,333",,,"27,9",,"0,375","4,5",,,"4,3125",10,,,,,"1,25",,,,,,,,1,"2,35",,"23,5","0,5",
houtwerk (klein),,zak,"24,58","24,58",,"418,75","418,75",,"1,00","1,00",,"394,17",,,"40,5",,,,,,"48,5",,,"308,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,6,,,,,,,,,,,"24,583","0,5",1
bezems,,dozijn,"636,25","636,04",,"17073,25","17073,25",,"0,00","0,00",,"16437,00",,,104,,"4,167",,,,,,"83,333",69,,256,,,"127,083","1939,667",,,"8464,5",,,449,,,"1672,167",,"92,833","2658,333",,,"423,667",,"32,083","77,583",,"30,125","389,5",,"10,417",,,,,,,,,,"559,1666666667",,,,,,"266,667",,,,,,,
hout (alle soorten aangegeven naar waarde),,gulden,"5696,00","5696,00",,"14137,00","14137,00",,"7578,00","7578,00",,"8441,00",,,,,18,20,,,,,,,,609,,,193,420,,,453,,232,10,,,,,,22,,,,,,,,1187,24,,,,14,2373,237,714,559,12831,6413,,,,470,110,437,25,10,,,,,30,,
houtwerk (groot en klein door elkaar),,gulden,"45805,00","45805,00",,"34530,00","34530,00",,"6268,00","6268,00",,"-11275,00",,1588,1907,65,7043,493,,1440,1376,500,87,547,,2384,,,804,2937,,321,1455,,283,30,,649,170,,468,8921,,3641,183,163,5777,930,,6674,623,,1453,367,1215,1561,457,19,2115,624,420,1738,846,,5120,3850,3028,606,2438,406,1568,6028,222,485,348,230
houtwerk (eenvoudig schrijnwerk),,gulden,"566,00","566,00",,"1700,00","1700,00",,"126,00","126,00",,"1134,00",,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,195,,,,,,8,,6,,,273,711,32,,,,230,139,94,,600,,32,20,,,12,
houtwerk (verguld en gebeeldhouwd schrijnwerk),,gulden,"362,00","362,00",,"90,00","90,00",,"0,00","0,00",,"-272,00",,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,90,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
houtwerk (gevernist van spa),,gulden,"417,00","417,00",,"5479,00","5479,00",,"2781,00","2781,00",,"5062,00",,,,101,6,,,95,10,,14,5447,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,16,,358,,,,196,22,2319
houtwerk (timmerwerk),,gulden,"957,00","957,00",,"13451,00","13451,00",,"2236,00","2236,00",,"12494,00",,,,,,,,,,,,,,,,,,,,9,1032,,,,,,,,,386,,,8040,,,,,,200,,20,,,,,,,,,,,,39,646,15,418,452,1419,471,2695,802,,,
houtwerk (charon),,gulden,"478,00","478,00",,"2178,00","2178,00",,"228,00","228,00",,"1700,00",,,1062,,30,,,24,10,,,,,,,,,10,,15,,,,,,,,,,,,,,,123,,,,,,10,,,,28,,,36,,,,,16,510,,64,32,188,196,490,40,,,
houtwerk (kuipers),,gulden,"0,00","0,00",,"87,00","87,00",,"0,00","0,00",,"87,00",,,27,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"houtwerk (getouwen, persen, molens...)",,aantal,"70,00","70,00",,"75,00","75,00",,"11,00","11,00",,"5,00",,,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,1,,10,2,,12,57,6,3,2,,9,5,1,2,3,,,1,,1,1,,6,2,2,3,,2
"houtwerk (getouwen, persen, molens...)",,gulden,"1816,00","1816,00",,"674,00","674,00",,"457,00","457,00",,"-1142,00",,,,,11,,,83,,,,,,,,,,,,,,,,,,,,,,,,,20,,203,15,,568,15,,688,400,17,35,74,,27,7,2,26,18,,,5,,7,25,,156,95,8,12,,430
borstels en penselen,,gulden,"1793,00","1793,00",,"516,00","516,00",,"1,00","1,00",,"-1277,00",,,162,,,,,128,,,20,,,423,,,95,225,,534,3,,47,,,,,,11,2,,2,,,502,,,,28,,,,,,29,,,37,1,,30,,,,,,,,,,,31,,
brandhout,,gulden,"27145,00","27145,00",,"146456,00","146456,00",,"8936,00","8936,00",,"119311,00",,,8408,,1055,3438,,787,112,,371,6254,,8,,,148,6529,,441,8670,,2319,,,340,7633,,1159,3407,,200,13890,3,181,6315,,316,3507,,884,808,100,4623,1450,95,3300,12407,3048,796,26616,3519,6819,10719,122,186,3120,30,2214,18198,1791,998,4975,228
borax,,pond,"225,00","225,00",,"1,00","1,00",,"0,00","0,00",,"-224,00",,4,,,,,,,,,30,,,177,,,,,,1,,,,,,7,,,,,,,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
kousen (zijde),,paar,"16570,00","16570,00",,"399,00","399,00",,"714,00","714,00",,"-16171,00",,9159,235,618,134,50,,2385,,,35,62,,133,,,12,,,30,2,,11,12,,2,,,,,,1068,,12,430,,,2297,2,,,4,1,,,,125,11,2,121,,,240,,36,,,32,18,,4,370,21,9
kousen (vloszijde),,paar,"214,00","214,00",,"6,00","6,00",,"13,00","13,00",,"-208,00",,,2,1,2,,,136,,,,4,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,18,,,12,,12,,,,39,,
kousen (wol),,paar,"125728,00","125728,00",,"67897,00","67897,00",,"35034,00","35034,00",,"-57831,00",,602,2615,17760,4168,3171,,49033,3994,,458,9956,,942,,,17,5366,,10698,5155,,10922,,,540,41,,1419,5396,,310,12,,41,18284,,430,920,,123,224,7484,409,671,4428,628,8374,32,210,2592,36,14626,114,147,3294,243,4433,2877,267,654,23981,502,60
kousen (garen),,paar,"1757,00","1757,00",,"73518,00","73518,00",,"6154,00","6154,00",,"71761,00",,,693,6024,46,,,750,,,,27867,,,,,,11496,,12,16776,,6,36,,18,,,,55,,157,,,28,15534,,36,821,,,,120,4,40,,2,199,,,,,122,,4,30,,,17,,6,529,1,
kousen (katoen),,paar,"2854,00","2854,00",,"66456,00","66456,00",,"362,00","362,00",,"63602,00",,,66,,12,,,1321,,,,37809,,6,,,3,7062,,,10668,,6,,,6,,,1,18,,20,,,10,10200,,3,135,,,8,310,,,,8,351,2,317,,,,,,109,,,153,15,4,879,124,46
kousen (leder),,paar,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutsen (wol),,aantal,"44122,00","44122,00",,"6964,00","6964,00",,"84,00","84,00",,"-37158,00",,,14,,240,,,32582,41,,526,9,,,,,12,,,74,60,,,,,,,,24,264,,,,,,6120,,9,141,,,,56,74,,,588,57,,254,84,,2305,84,,671,,,649,2,28,6114,88,
mutsen (katoen),,aantal,"4592,00","4592,00",,"30085,00","30085,00",,"69,00","69,00",,"25493,00",,,288,,,,,270,,,,12923,,,,,,7656,,,6552,,,,,,,,6,8,,,,,2,2496,,,23,,,,69,1,,,,92,,,,,1529,,,48,,,25,,,2711,47,
handschoenen en wanten (zijde),,paar,"1906,00","1906,00",,"39,00","39,00",,"38,00","38,00",,"-1867,00",,1324,13,38,8,3,,24,,,,,,,,,,,,,3,,,,,,11,,,,,455,,,,,,2,,,,,,,,,5,8,,53,,,,,,1,,,,,,34,1,
handschoenen en wanten (vloszijde),,paar,"1139,00","1139,00",,"85,00","85,00",,"12,00","12,00",,"-1054,00",,48,,12,,,,936,,,,85,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,
handschoenen (wol),,paar,"9839,00","9839,00",,"17035,00","17035,00",,"44,00","44,00",,"7196,00",,,23,,154,,,7938,1057,,,1473,,160,,,,744,,97,12123,,251,,,,,,,33,,2,,,,1212,,,49,,12,,36,,,,206,297,,,,,135,,,110,,,318,,,456,24,8
handschoenen (garen),,paar,"6,00","6,00",,"3318,00","3318,00",,"48,00","48,00",,"3312,00",,,,48,,,,,,,,357,,,,,,660,,6,,,,,,,,,,,,,,,,2292,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
handschoenen (katoen),,paar,"667,00","667,00",,"8312,00","8312,00",,"18,00","18,00",,"7645,00",,,,,,,,242,,,,3409,,,,,,924,,,1314,,,,,,,,,,,,,,,2292,,,24,,,12,18,,,,,337,,,,,120,,,12,,,33,,,260,,
bonneterie (gemengd),,gulden,"356,00","356,00",,"89,00","89,00",,"0,00","0,00",,"-267,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,50,,14,,,,,,,39,,,,,,,,,,,20,,,,,,,,
breiwerk (kleding),,gulden,"741,00","741,00",,"1101,00","1101,00",,"982,00","982,00",,"360,00",,30,,780,,,,147,151,,,375,,,,,,260,,163,315,,212,,,,,,,,,,,202,,,,117,,,10,,,,,,6,,,56,,,,,,,,,,,,,,
knopen (fijne goud- en zilverdraad),,pond,"115,63","115,63",,"14,50","14,50",,"7,25","7,25",,"-101,13",,44,"9,75","5,25","7,375","0,25",,,,,1,,,,,,,,,"0,25","0,25",,,,,,"0,25",,,,,"20,4375",,,"7,1875",,,"23,625","0,5",,,,,,,2,"0,625","3,5",,4,,,"6,25",,,,,,,,,"0,75",,
knopen ('pinsbeek'),,gros,"3047,60","3047,60",,"0,25","0,25",,"0,50","0,50",,"-3047,35",,,,,2,"0,25",,"221,75",,,,,,,,,,,,"1765,917",,,"103,5",,,,,,,,,,,,"0,4166666667",,,"253,333",,,,,,,,,7,,"0,5",26,,,"536,6875",,,"77,333",,,"53,667",,,,,
knopen ('pinsbeek'),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knopen (tin en koper),,pond,"3,00","3,00",,"5,50","5,50",,"0,00","0,00",,"2,50",,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,"2,5",
knopen (been en hoorn),,pond,"2133,00","0,00",,"6,00","0,00",,"0,00","0,00",,"-2127,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knopen (draad van geitewol),,pond,"450,25","450,25",,"11,00","11,00",,"0,00","0,00",,"-439,25",,,11,,93,,,22,,,1,,,,,,,,,,,,4,,,,,,,,,110,,,"96,25",,,,,,,,,,,,,,,97,,,,,,,,,27,,,,,
