Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
"masten (den, 4 tot 8 palmen)",mats de sapin de 4 à 8 paumes,aantal,14,204,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162,0,0,0,0,0,9,0,0,0,18,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"masten (den, 3 palmen en kleiner)",mats de sapin de 3 paumes,aantal,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staken (groot) ('juffers'),grandes perches dit Juffers,aantal,14,5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,54,0,0,0,0,0,690,0,0,0,0,0,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staken (middelmaat) ('capravens'),perches moyennes dit Capravens,aantal,14,7365,349,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,96,312,0,3060,0,0,2985,0,0,924,0,0,0,0,0,0,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staken ('boomse capravens'),perches dites boomse capravens,aantal,14,20632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16783,0,0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
staken (gewone en kleine in den),perches communes ou petites de sapin,aantal,14,30589,219337,74805,0,0,0,2254,21576,0,0,8,0,0,19951,0,2495,0,0,45,158,0,71,100,0,7659,0,0,160,0,0,330,0,0,0,0,0,0,790,0,0,34496,0,10717,44123,0,56,945,0,4711,1875,1250,1964,9895,73295,80,1070,0,47,0,0,0,0,0,0,84350,260
standrepen (houten ring van een zeef),cercles à tamis dits Standrepen,gros,15,"236,17","73,21","4,92",0,0,0,0,0,0,0,"0,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,67",0,"3,25",62,"0,25",0,86,0,0,"43,5",0,0,0,"72,38","1,67",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
tonhoepels (12 tot 14 voet of groter),cercles de 12 à 16 pieds,aantal,15,2000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonhoepels (10 tot 12 voet),cercles de 10 à 12 pieds,aantal,15,337510,5625,0,0,0,0,0,0,0,0,0,0,0,0,0,337510,0,0,0,0,0,0,0,0,0,2975,0,0,1950,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tonhoepels (8 tot 10 voet),cercles de 8 à 10 pieds,aantal,15,2150,12645,1300,0,0,0,0,10495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,1900,1300,0,0,0,0,0,0,0,0,0,1700,250,0
