Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
slates called 'cherubs and mortar',ardoises dites cherubins et à mortier,leisteen (bestrating en mortel),"""charrée""",6,"278,5",0,362,0,119,0,0,371,5,3,44,1,0,468,0,2,404,0,16,"586,5",283,0,"829,5",0,0,901,349,0,891,0,0,835,2,0,838,0,31,910,2,5,955,0,0,342,0,"1,5","996,75",0,2,829,0,0,532,1,0,283,0,0,337,0,39,"437,5","0,5",0,"591,5",0,0,588,0,0,"568,5",0,6,"707,5",0,0,"671,5",0,0,"726,75",0,0,686,0,"1,5","449,75",0,0,467,0,0,"395,5","2,81",0,"530,63",1
slates called 'cherubs and mortar',ardoises dites cherubins et à mortier,leisteen (bestrating en mortel),feet,...,...,...,...,"2028,5",0,11102,3523,410,10639,...,...,...,1620,0,355,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"slate (voisines, large)",ardoises dites grandes voisines,"leisteen (voisines, groot)",pieces,0,108750,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"slate (voisines, medium)",ardoises dites moyennes voisines,"leisteen (voisines, middelmaat)",pieces,1250,377950,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"slate (voisines, small)",ardoises dites petittes voisines,"leisteen (voisines, klein)",pieces,0,324200,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"slate (voisines) large, medium and small","ardoises dites voisines, grandes, moyennes et petites","leisteen (voisines) groot, gemiddeld en klein",pieces,...,...,46000,363550,425772,15250,1000,...,...,...,905750,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
slates in booklets,ardoises en livrets,leisteen (in boekvorm),guilders,59,"104,05",16,76,26,5,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
framed slate,ardoises encadrées,leisteen (ingekaderd),pieces,...,...,...,...,600,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
framed slate and booklets,ardoises encadrées et en livrets,leisteen (ingekaderd en in boekvorm),guilders,...,...,...,...,...,...,...,129,"11,5",0,"161,65",10,5,70,0,0,148,0,0,141,3,0,415,25,30,136,27,0,169,164,0,305,63,1585,575,55,0,277,35,0,0,0,0,15,0,0,648,35,0,226,23,0,0,44,0,12,18,0,75,18,35,2,36,0,20,0,98,120,0,81,831,0,21,660,26,0,328,3,0,761,288,0,446,36,31,6,45,0,337,2,10,294,14,0,193,118,0
framed slate and booklets,ardoises encadrées et en livrets,leisteen (ingekaderd en in boekvorm),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,950,0,3,846,18,0,3870,190,220,354,0,0,…,…,…,0,0,0,0,0,0,0,0,0,207,5,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
non processed slate,ardoises non travaillées,leisteen (onbewerkt),feet,3778,"54552,5",4666,1380,...,...,...,...,...,...,7284,5380,16281,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
ordinary slate,ardoises ordinaires,leisteen (gewone),pieces,11565960,3144862,11718018,715396,11536840,1445016,11446300,10818546,1198550,9312550,15638511,1286450,10507900,17415921,1608352,11925488,15364410,2890314,12266938,12083118,2183445,9107000,15988349,1478196,1653296,14358895,1715980,8561950,11986499,1925078,10166500,11490400,2476124,9552450,15083765,1916106,11147400,15991625,1613980,10004200,10838572,1757410,10191250,14668312,1765760,12101300,14948125,1693030,8657200,14188200,7029125,10051652,15546250,1805450,10610200,9680217,2378250,10061750,11821794,2518100,9366800,12415650,2467293,11006300,14583100,2593895,10254056,12487141,2117998,3710300,9771450,4963735,9151800,15223190,7129284,7147300,14422919,6981340,5016003,17676574,10075478,3590400,22376690,11712756,3280003,21528064,12971650,2519900,17740045,9494900,1821400,7988588,4396200,1068000,24800550,8543020,2003680
ordinary slate,ardoises ordinaires,leisteen (gewone),feet,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6022,390,14154,"6044,5",3818,10866,6965,250,14197,"5807,5",225,6700,7955,325,13891,"4266,5",4011,8353,"7935,5",1124,2481,8983,2880,10288,6501,288,8789,5947,319,11176,"4710,5",107,12666,"9943,5",6040,14394,10279,1445,10934,24950,619,9634,10267,14102,14051,7741,1039,305,7965,1554,18864,10909,441,684,8124,185,10016,6749,12700,14732,5053,90,19052,11187,2026,20754,9315,0,12366,14126,12673,6106,7531,0,"6886,5",5550,32,4430,6462,15108,9153
silver (argent brulé),argent brulé,zilver (argent brulé),guilders,0,1055,191,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver (argent brulé),argent brulé,zilver (argent brulé),ounce,0,305,...,...,0,125,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver in barrels,argent en barils,zilver (in vaten met onbekende waarde),"""barils""",...,...,...,...,0,0,21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver in bars,argent en barres,zilver (staven),pounds,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,0,0,"106,5",0,578,0,"144,5",0,"30,69",0,35,0,0,0,"22,5",0,0,"117,5",0,6,"12,13",0,0,"2,31",0,0,4,0,0,9,0,0,0,0,58
silver in ingots of low value,argent en lingots de bas alloye,zilver (staven van lage waarde),ounce,...,...,...,...,...,...,...,0,124,832,0,6,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver in ingots of low value,argent en lingots de bas alloye,zilver (staven van lage waarde),guilders,...,...,...,...,...,...,...,...,...,...,0,"14,45","2014110,78",0,0,"3773436,22",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver in ingots of low value,argent en lingots de bas alloye,zilver (staven van lage waarde),"""mark""",...,...,...,...,...,...,...,...,...,...,...,...,...,37391,0,15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver (piasters),argent en piastres,zilver (piasters),piastres,...,...,...,...,...,...,...,...,...,...,500,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver (piasters),argent en piastres,zilver (piasters),guilders,...,...,...,...,0,0,824526,...,...,...,0,0,"566458,55",0,0,"285736,07",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver and gold bullion,argent et or billon,goud en zilver (kwaad geld),"""mark""",...,...,...,...,...,...,...,28,0,38,"335,75",0,180,"314,5",6,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
silver and gold bullion,argent et or billon,goud en zilver (kwaad geld),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,9060,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fake silver wire,"argent faux en fil, cantilles, etc.",valse zilverdraad,pounds,1,"5,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
coined silver,argent monnoyé  ,zilvergeld,guilders,...,...,0,337834,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
coined silver (ecu a palmes),argent monnoyé en ecus à palmes,zilvergeld (ecu a palmes),guilders,...,...,...,...,...,...,...,0,"82052,25",438187,0,0,"497215,7",0,"4893,75","498997,3",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
coined silver (en especes coursables),argent monnoyé en especes coursables,zilvergeld (en especes coursables),guilders,...,...,...,...,0,"49715,5","917157,92",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
mercury,argent vif ou mercure,kwikzilver,pounds,1490,0,"1016,5",2,"2230,5",4,0,"963,5",7,2,2129,12,0,1499,0,0,2016,27,"6,5",3365,8,4,"1879,25",133,0,"2838,06",33,0,"2245,25",25,0,"2518,75",0,1,2326,0,0,1917,0,1,"2203,5",0,0,2078,29,0,"2536,5",0,0,3191,0,125,"3261,5",0,0,"3602,5",7,0,"3305,13",5,106,2316,47,5720,"4559,5",0,33746,3295,492,17968,"4766,5",0,346,2781,0,0,"3231,75","5,5",1554,3304,2,5961,"6276,5",0,5705,4227,3,1910,2226,1,1051,2147,88,0,"4414,2",2,28
mercury,argent vif ou mercure,kwikzilver,guilders,...,...,...,...,...,...,...,0,12,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fire weapons,armes à feu,vuurwapens,cases,...,...,...,...,0,0,"35,5",...,...,...,...,...,...,0,0,232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fire weapons,armes à feu,vuurwapens,guilders,...,...,...,...,0,0,4237,...,...,...,...,...,...,0,0,"40063,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
non comprised weaponry,armes non reprises,niet vermelde wapens,guilders,58,"54,5",150,28,"96,15",0,210,"137,25",175,5209,237,41,21975,16,0,175,296,420,19515,432,64,436,450,156,1675,191,6,826,236,0,53,137,40,722,263,36,29,176,0,20,194,66,395,260,20,0,503,49,16,275,17,1816,340,200,63,533,473,218,615,50,55,1012,27,0,551,5195,241,531,636,35,393,0,103,439,0,85,422,0,0,545,0,0,92,60,25,320,83,0,25,25,9,1246,0,0,277,0,18
weaponry (remontrances),armes remontrances,wapens (remontrances),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,3,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
weaponry (remontrances),armes remontrances,wapens (remontrances),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,585,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
iron cannons and weapons,"armes, canons de fer",geschut (ijzer),pounds,...,...,...,...,...,...,...,0,64,0,0,37700,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
iron cannons and weapons,"armes, canons de fer",geschut (ijzer),pieces,...,...,2,0,3,9,0,...,...,...,0,52,0,2,0,0,...,...,...,...,...,...,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
arsenic,arsenic  ,arsenicum,pounds,1061,17,...,...,...,...,...,692,25,10,292,12,35,424,7,392,604,0,202,1073,0,125,5526,10,821,967,0,5528,1111,100,394,966,0,0,621,0,1527,1332,13,1041,1341,0,1859,1122,0,510,2202,0,878,1605,0,855,46,0,0,250,0,0,1550,0,367,0,0,0,0,4,0,3,0,0,0,0,230,154,0,0,1158,0,0,634,26,0,254,50,0,800,0,0,962,0,132,80,0,220,196,0,0
artichokes,artichaux,artisjokken,pieces,76,250,...,...,236,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
firework,artifice fusées etc,vuurwerk,guilders,20,88,48,359,5,30,50,"158,25",30,0,"86,6","102,85","1,35",166,147,10,56,100,10,125,187,98,189,56,0,79,6,7,33,15,0,17,29,23,11,1,19,12,4,0,94,0,0,6,0,40,0,1,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
